"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 5","Season peak percentage","Bin","percent","7.2","7.3",0.0021
"HHS Region 5","Season peak percentage","Bin","percent","7.3","7.4",0.0018
"HHS Region 5","Season peak percentage","Bin","percent","7.4","7.5",0.0015
"HHS Region 5","Season peak percentage","Bin","percent","7.5","7.6",0.0015
"HHS Region 5","Season peak percentage","Bin","percent","7.6","7.7",0.0015
"HHS Region 5","Season peak percentage","Bin","percent","7.7","7.8",0.002
"HHS Region 5","Season peak percentage","Bin","percent","7.8","7.9",0.0014
"HHS Region 5","Season peak percentage","Bin","percent","7.9","8.0",9e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.0","8.1",9e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.1","8.2",8e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.2","8.3",0.0011
"HHS Region 5","Season peak percentage","Bin","percent","8.3","8.4",9e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.4","8.5",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.5","8.6",0.0011
"HHS Region 5","Season peak percentage","Bin","percent","8.6","8.7",0.0011
"HHS Region 5","Season peak percentage","Bin","percent","8.7","8.8",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.8","8.9",3e-04
"HHS Region 5","Season peak percentage","Bin","percent","8.9","9.0",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.0","9.1",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.1","9.2",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.2","9.3",8e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.3","9.4",6e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.4","9.5",7e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.5","9.6",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.6","9.7",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.7","9.8",3e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.8","9.9",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","9.9","10.0",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.0","10.1",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.1","10.2",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.2","10.3",6e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.3","10.4",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.4","10.5",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.5","10.6",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.6","10.7",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.7","10.8",5e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.8","10.9",1e-04
"HHS Region 5","Season peak percentage","Bin","percent","10.9","11.0",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.0","11.1",1e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.1","11.2",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.2","11.3",1e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.3","11.4",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.4","11.5",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.5","11.6",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.6","11.7",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.7","11.8",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.8","11.9",6e-04
"HHS Region 5","Season peak percentage","Bin","percent","11.9","12.0",4e-04
"HHS Region 5","Season peak percentage","Bin","percent","12.0","12.1",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","12.1","12.2",3e-04
"HHS Region 5","Season peak percentage","Bin","percent","12.2","12.3",0
"HHS Region 5","Season peak percentage","Bin","percent","12.3","12.4",2e-04
"HHS Region 5","Season peak percentage","Bin","percent","12.4","12.5",0
"HHS Region 5","Season peak percentage","Bin","percent","12.5","12.6",1e-04
"HHS Region 5","Season peak percentage","Bin","percent","12.6","12.7",0
"HHS Region 5","Season peak percentage","Bin","percent","12.7","12.8",1e-04
"HHS Region 5","Season peak percentage","Bin","percent","12.8","12.9",0
"HHS Region 5","Season peak percentage","Bin","percent","12.9","13.0",0
"HHS Region 5","Season peak percentage","Bin","percent","13.0","100.0",0.0035
"HHS Region 5","Season peak week","Bin","week","40.0","41.0",0
"HHS Region 5","Season peak week","Bin","week","41.0","42.0",0
"HHS Region 5","Season peak week","Bin","week","42.0","43.0",0
"HHS Region 5","Season peak week","Bin","week","43.0","44.0",0
"HHS Region 5","Season peak week","Bin","week","44.0","45.0",0.0323
"HHS Region 5","Season peak week","Bin","week","45.0","46.0",0
"HHS Region 5","Season peak week","Bin","week","46.0","47.0",0
"HHS Region 5","Season peak week","Bin","week","47.0","48.0",0
"HHS Region 5","Season peak week","Bin","week","48.0","49.0",0.013
"HHS Region 5","Season peak week","Bin","week","49.0","50.0",0.0178
"HHS Region 5","Season peak week","Bin","week","50.0","51.0",0.0097
"HHS Region 5","Season peak week","Bin","week","51.0","52.0",0.009
"HHS Region 5","Season peak week","Bin","week","52.0","53.0",0.0132
"HHS Region 5","Season peak week","Bin","week","1.0","2.0",0.0074
"HHS Region 5","Season peak week","Bin","week","2.0","3.0",0.0082
"HHS Region 5","Season peak week","Bin","week","3.0","4.0",0.0088
"HHS Region 5","Season peak week","Bin","week","4.0","5.0",0.0093
"HHS Region 5","Season peak week","Bin","week","5.0","6.0",0.0095
"HHS Region 5","Season peak week","Bin","week","6.0","7.0",0.0073
"HHS Region 5","Season peak week","Bin","week","7.0","8.0",0.0104
"HHS Region 5","Season peak week","Bin","week","8.0","9.0",0.0095
"HHS Region 5","Season peak week","Bin","week","9.0","10.0",0.0102
"HHS Region 5","Season peak week","Bin","week","10.0","11.0",0.0115
"HHS Region 5","Season peak week","Bin","week","11.0","12.0",0.0088
"HHS Region 5","Season peak week","Bin","week","12.0","13.0",0.0119
"HHS Region 5","Season peak week","Bin","week","13.0","14.0",0.0133
"HHS Region 5","Season peak week","Bin","week","14.0","15.0",0.018
"HHS Region 5","Season peak week","Bin","week","15.0","16.0",0.0255
"HHS Region 5","Season peak week","Bin","week","16.0","17.0",0.0309
"HHS Region 5","Season peak week","Bin","week","17.0","18.0",0.0511
"HHS Region 5","Season peak week","Bin","week","18.0","19.0",0.0908
"HHS Region 5","Season peak week","Bin","week","19.0","20.0",0.1843
"HHS Region 5","Season peak week","Bin","week","20.0","21.0",0.3783
"HHS Region 6","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","1 wk ahead","Bin","percent","0.8","0.9",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 6","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","1 wk ahead","Bin","percent","1.1","1.2",2e-04
"HHS Region 6","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 6","1 wk ahead","Bin","percent","1.3","1.4",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","1.4","1.5",3e-04
"HHS Region 6","1 wk ahead","Bin","percent","1.5","1.6",5e-04
"HHS Region 6","1 wk ahead","Bin","percent","1.6","1.7",0.0016
"HHS Region 6","1 wk ahead","Bin","percent","1.7","1.8",0.0024
"HHS Region 6","1 wk ahead","Bin","percent","1.8","1.9",0.0064
"HHS Region 6","1 wk ahead","Bin","percent","1.9","2.0",0.0111
"HHS Region 6","1 wk ahead","Bin","percent","2.0","2.1",0.0232
"HHS Region 6","1 wk ahead","Bin","percent","2.1","2.2",0.0442
"HHS Region 6","1 wk ahead","Bin","percent","2.2","2.3",0.0802
"HHS Region 6","1 wk ahead","Bin","percent","2.3","2.4",0.1395
"HHS Region 6","1 wk ahead","Bin","percent","2.4","2.5",0.1809
"HHS Region 6","1 wk ahead","Bin","percent","2.5","2.6",0.1714
"HHS Region 6","1 wk ahead","Bin","percent","2.6","2.7",0.1322
"HHS Region 6","1 wk ahead","Bin","percent","2.7","2.8",0.0837
"HHS Region 6","1 wk ahead","Bin","percent","2.8","2.9",0.0488
"HHS Region 6","1 wk ahead","Bin","percent","2.9","3.0",0.0304
"HHS Region 6","1 wk ahead","Bin","percent","3.0","3.1",0.0163
"HHS Region 6","1 wk ahead","Bin","percent","3.1","3.2",0.009
"HHS Region 6","1 wk ahead","Bin","percent","3.2","3.3",0.0059
"HHS Region 6","1 wk ahead","Bin","percent","3.3","3.4",0.0036
"HHS Region 6","1 wk ahead","Bin","percent","3.4","3.5",0.0031
"HHS Region 6","1 wk ahead","Bin","percent","3.5","3.6",0.0015
"HHS Region 6","1 wk ahead","Bin","percent","3.6","3.7",0.0015
"HHS Region 6","1 wk ahead","Bin","percent","3.7","3.8",6e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.8","3.9",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","3.9","4.0",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.0","4.1",4e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.1","4.2",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.2","4.3",3e-04
"HHS Region 6","1 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 6","1 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 6","1 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 6","1 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 6","1 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 6","1 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 6","1 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 6","1 wk ahead","Bin","percent","5.0","5.1",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.1","5.2",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 6","1 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 6","1 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 6","1 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 6","1 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 6","1 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 6","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 6","1 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 6","1 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 6","1 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 6","1 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 6","1 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 6","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 6","1 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 6","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 6","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 6","1 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 6","1 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 6","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 6","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 6","1 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 6","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 6","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","1 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 6","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","1 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 6","1 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","1 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","1 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","1 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","1 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","1 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","1 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","1 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","1 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","1 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","1 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","1 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","1 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","1 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","1 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","1 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","1 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","1 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","1 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","1 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","1 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","1 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","1 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","1 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","1 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","1 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","1 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","1 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","1 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","2 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","2 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","2 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","2 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","2 wk ahead","Bin","percent","0.6","0.7",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.7","0.8",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.8","0.9",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","0.9","1.0",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.0","1.1",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.1","1.2",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.2","1.3",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 6","2 wk ahead","Bin","percent","1.4","1.5",9e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.5","1.6",6e-04
"HHS Region 6","2 wk ahead","Bin","percent","1.6","1.7",0.0018
"HHS Region 6","2 wk ahead","Bin","percent","1.7","1.8",0.0031
"HHS Region 6","2 wk ahead","Bin","percent","1.8","1.9",0.0067
"HHS Region 6","2 wk ahead","Bin","percent","1.9","2.0",0.0119
"HHS Region 6","2 wk ahead","Bin","percent","2.0","2.1",0.0189
"HHS Region 6","2 wk ahead","Bin","percent","2.1","2.2",0.0379
"HHS Region 6","2 wk ahead","Bin","percent","2.2","2.3",0.0607
"HHS Region 6","2 wk ahead","Bin","percent","2.3","2.4",0.0907
"HHS Region 6","2 wk ahead","Bin","percent","2.4","2.5",0.1214
"HHS Region 6","2 wk ahead","Bin","percent","2.5","2.6",0.1324
"HHS Region 6","2 wk ahead","Bin","percent","2.6","2.7",0.1339
"HHS Region 6","2 wk ahead","Bin","percent","2.7","2.8",0.111
"HHS Region 6","2 wk ahead","Bin","percent","2.8","2.9",0.093
"HHS Region 6","2 wk ahead","Bin","percent","2.9","3.0",0.0635
"HHS Region 6","2 wk ahead","Bin","percent","3.0","3.1",0.0425
"HHS Region 6","2 wk ahead","Bin","percent","3.1","3.2",0.0239
"HHS Region 6","2 wk ahead","Bin","percent","3.2","3.3",0.0154
"HHS Region 6","2 wk ahead","Bin","percent","3.3","3.4",0.0091
"HHS Region 6","2 wk ahead","Bin","percent","3.4","3.5",0.0069
"HHS Region 6","2 wk ahead","Bin","percent","3.5","3.6",0.0046
"HHS Region 6","2 wk ahead","Bin","percent","3.6","3.7",0.0027
"HHS Region 6","2 wk ahead","Bin","percent","3.7","3.8",0.0012
"HHS Region 6","2 wk ahead","Bin","percent","3.8","3.9",0.001
"HHS Region 6","2 wk ahead","Bin","percent","3.9","4.0",0.001
"HHS Region 6","2 wk ahead","Bin","percent","4.0","4.1",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.1","4.2",6e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.2","4.3",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.3","4.4",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.4","4.5",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.6","4.7",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.7","4.8",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.8","4.9",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 6","2 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 6","2 wk ahead","Bin","percent","5.1","5.2",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 6","2 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 6","2 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 6","2 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 6","2 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 6","2 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 6","2 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 6","2 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 6","2 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 6","2 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 6","2 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 6","2 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 6","2 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 6","2 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 6","2 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 6","2 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 6","2 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 6","2 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 6","2 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","2 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 6","2 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","2 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 6","2 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","2 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 6","2 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","2 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","2 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","2 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","2 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","2 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","2 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","2 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","2 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","2 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","2 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","2 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","2 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","2 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","2 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","2 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","2 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","2 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","2 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","2 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","3 wk ahead","Bin","percent","0.5","0.6",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","3 wk ahead","Bin","percent","0.7","0.8",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","0.8","0.9",3e-04
"HHS Region 6","3 wk ahead","Bin","percent","0.9","1.0",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 6","3 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 6","3 wk ahead","Bin","percent","1.2","1.3",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","1.3","1.4",6e-04
"HHS Region 6","3 wk ahead","Bin","percent","1.4","1.5",7e-04
"HHS Region 6","3 wk ahead","Bin","percent","1.5","1.6",0.0023
"HHS Region 6","3 wk ahead","Bin","percent","1.6","1.7",0.0037
"HHS Region 6","3 wk ahead","Bin","percent","1.7","1.8",0.0036
"HHS Region 6","3 wk ahead","Bin","percent","1.8","1.9",0.009
"HHS Region 6","3 wk ahead","Bin","percent","1.9","2.0",0.0131
"HHS Region 6","3 wk ahead","Bin","percent","2.0","2.1",0.0212
"HHS Region 6","3 wk ahead","Bin","percent","2.1","2.2",0.03
"HHS Region 6","3 wk ahead","Bin","percent","2.2","2.3",0.0429
"HHS Region 6","3 wk ahead","Bin","percent","2.3","2.4",0.0682
"HHS Region 6","3 wk ahead","Bin","percent","2.4","2.5",0.0888
"HHS Region 6","3 wk ahead","Bin","percent","2.5","2.6",0.1016
"HHS Region 6","3 wk ahead","Bin","percent","2.6","2.7",0.1064
"HHS Region 6","3 wk ahead","Bin","percent","2.7","2.8",0.1098
"HHS Region 6","3 wk ahead","Bin","percent","2.8","2.9",0.0979
"HHS Region 6","3 wk ahead","Bin","percent","2.9","3.0",0.0827
"HHS Region 6","3 wk ahead","Bin","percent","3.0","3.1",0.0623
"HHS Region 6","3 wk ahead","Bin","percent","3.1","3.2",0.0474
"HHS Region 6","3 wk ahead","Bin","percent","3.2","3.3",0.0348
"HHS Region 6","3 wk ahead","Bin","percent","3.3","3.4",0.0222
"HHS Region 6","3 wk ahead","Bin","percent","3.4","3.5",0.0154
"HHS Region 6","3 wk ahead","Bin","percent","3.5","3.6",0.011
"HHS Region 6","3 wk ahead","Bin","percent","3.6","3.7",0.0078
"HHS Region 6","3 wk ahead","Bin","percent","3.7","3.8",0.0045
"HHS Region 6","3 wk ahead","Bin","percent","3.8","3.9",0.0028
"HHS Region 6","3 wk ahead","Bin","percent","3.9","4.0",0.0028
"HHS Region 6","3 wk ahead","Bin","percent","4.0","4.1",0.0016
"HHS Region 6","3 wk ahead","Bin","percent","4.1","4.2",7e-04
