"location","target","unit","type","bin_start_incl","bin_end_notincl","value"
"US National","4 wk ahead","percent","Bin","10.600000","10.700000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","10.700000","10.800000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","10.800000","10.900000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","10.900000","11",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11","11.100000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.100000","11.200000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.200000","11.300000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.300000","11.400000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.400000","11.500000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.500000","11.600000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.600000","11.700000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.700000","11.800000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.800000","11.900000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","11.900000","12",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12","12.100000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.100000","12.200000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.200000","12.300000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.300000","12.400000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.400000","12.500000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.500000","12.600000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.600000","12.700000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.700000","12.800000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.800000","12.900000",0.00100000068933314
"US National","4 wk ahead","percent","Bin","12.900000","13",0.00100000068933314
"US National","4 wk ahead","percent","Bin","13","100",0.00100000068933314
"HHS Region 1","Season onset","week","Bin","40","41",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","41","42",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","42","43",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","43","44",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","44","45",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","45","46",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","46","47",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","47","48",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","48","49",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","49","50",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","50","51",0.99951469874557
"HHS Region 1","Season onset","week","Bin","51","52",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","52","53",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","1","2",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","2","3",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","3","4",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","4","5",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","5","6",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","6","7",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","7","8",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","8","9",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","9","10",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","10","11",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","11","12",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","12","13",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","13","14",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","14","15",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","15","16",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","16","17",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","17","18",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","18","19",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","19","20",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","20","21",1.47060986190973e-05
"HHS Region 1","Season onset","week","Bin","none","none",1.47060986190973e-05
"HHS Region 1","Season peak week","week","Bin","40","41",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","41","42",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","42","43",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","43","44",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","44","45",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","45","46",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","46","47",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","47","48",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","48","49",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","49","50",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","50","51",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","51","52",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","52","53",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","1","2",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","2","3",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","3","4",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","4","5",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","5","6",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","6","7",0.999515144168851
"HHS Region 1","Season peak week","week","Bin","7","8",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","8","9",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","9","10",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","10","11",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","11","12",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","12","13",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","13","14",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","14","15",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","15","16",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","16","17",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","17","18",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","18","19",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","19","20",1.51517447234049e-05
"HHS Region 1","Season peak week","week","Bin","20","21",1.51517447234049e-05
"HHS Region 1","Season peak percentage","percent","Bin","0","0.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.100000","0.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.200000","0.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.300000","0.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.400000","0.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.500000","0.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.600000","0.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.700000","0.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.800000","0.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","0.900000","1",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1","1.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.100000","1.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.200000","1.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.300000","1.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.400000","1.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.500000","1.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.600000","1.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.700000","1.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.800000","1.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","1.900000","2",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2","2.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.100000","2.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.200000","2.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.300000","2.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.400000","2.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.500000","2.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.600000","2.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.700000","2.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.800000","2.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","2.900000","3",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3","3.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.100000","3.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.200000","3.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.300000","3.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.400000","3.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.500000","3.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.600000","3.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.700000","3.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.800000","3.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","3.900000","4",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4","4.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.100000","4.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.200000","4.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.300000","4.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.400000","4.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.500000","4.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.600000","4.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.700000","4.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.800000","4.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","4.900000","5",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5","5.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.100000","5.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.200000","5.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.300000","5.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.400000","5.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.500000","5.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.600000","5.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.700000","5.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.800000","5.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","5.900000","6",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6","6.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.100000","6.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.200000","6.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.300000","6.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.400000","6.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.500000","6.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.600000","6.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.700000","6.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.800000","6.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","6.900000","7",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7","7.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.100000","7.200000",0.498450101471044
"HHS Region 1","Season peak percentage","percent","Bin","7.200000","7.300000",0.49845208854257
"HHS Region 1","Season peak percentage","percent","Bin","7.300000","7.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.400000","7.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.500000","7.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.600000","7.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.700000","7.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.800000","7.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","7.900000","8",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8","8.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.100000","8.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.200000","8.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.300000","8.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.400000","8.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.500000","8.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.600000","8.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.700000","8.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.800000","8.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","8.900000","9",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9","9.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.100000","9.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.200000","9.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.300000","9.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.400000","9.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.500000","9.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.600000","9.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.700000","9.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.800000","9.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","9.900000","10",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10","10.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.100000","10.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.200000","10.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.300000","10.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.400000","10.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.500000","10.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.600000","10.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.700000","10.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.800000","10.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","10.900000","11",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11","11.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.100000","11.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.200000","11.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.300000","11.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.400000","11.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.500000","11.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.600000","11.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.700000","11.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.800000","11.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","11.900000","12",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12","12.100000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.100000","12.200000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.200000","12.300000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.300000","12.400000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.400000","12.500000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.500000","12.600000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.600000","12.700000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.700000","12.800000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.800000","12.900000",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","12.900000","13",2.4014030902208e-05
"HHS Region 1","Season peak percentage","percent","Bin","13","100",2.4014030902208e-05
"HHS Region 1","1 wk ahead","percent","Bin","0","0.100000",0.0010000000638119
"HHS Region 1","1 wk ahead","percent","Bin","0.100000","0.200000",0.00100000020152533
"HHS Region 1","1 wk ahead","percent","Bin","0.200000","0.300000",0.00100000061598686
"HHS Region 1","1 wk ahead","percent","Bin","0.300000","0.400000",0.00100000182207384
"HHS Region 1","1 wk ahead","percent","Bin","0.400000","0.500000",0.00100000521548621
"HHS Region 1","1 wk ahead","percent","Bin","0.500000","0.600000",0.00100001444615465
"HHS Region 1","1 wk ahead","percent","Bin","0.600000","0.700000",0.00100003872011218
"HHS Region 1","1 wk ahead","percent","Bin","0.700000","0.800000",0.00100010042627212
"HHS Region 1","1 wk ahead","percent","Bin","0.800000","0.900000",0.00100025204864533
"HHS Region 1","1 wk ahead","percent","Bin","0.900000","1",0.00100061213571803
"HHS Region 1","1 wk ahead","percent","Bin","1","1.100000",0.00100143859147889
"HHS Region 1","1 wk ahead","percent","Bin","1.100000","1.200000",0.00100327155140564
"HHS Region 1","1 wk ahead","percent","Bin","1.200000","1.300000",0.00100719940513889
"HHS Region 1","1 wk ahead","percent","Bin","1.300000","1.400000",0.00101533084787194
"HHS Region 1","1 wk ahead","percent","Bin","1.400000","1.500000",0.0010315909381274
"HHS Region 1","1 wk ahead","percent","Bin","1.500000","1.600000",0.00106299205107898
"HHS Region 1","1 wk ahead","percent","Bin","1.600000","1.700000",0.00112154467593983
"HHS Region 1","1 wk ahead","percent","Bin","1.700000","1.800000",0.00122694111090736
"HHS Region 1","1 wk ahead","percent","Bin","1.800000","1.900000",0.00141003179759373
"HHS Region 1","1 wk ahead","percent","Bin","1.900000","2",0.0017168843451359
"HHS Region 1","1 wk ahead","percent","Bin","2","2.100000",0.00221285232600983
"HHS Region 1","1 wk ahead","percent","Bin","2.100000","2.200000",0.00298561063436309
"HHS Region 1","1 wk ahead","percent","Bin","2.200000","2.300000",0.00414563011037643
"HHS Region 1","1 wk ahead","percent","Bin","2.300000","2.400000",0.00582223836075839
"HHS Region 1","1 wk ahead","percent","Bin","2.400000","2.500000",0.0081534773323083
"HHS Region 1","1 wk ahead","percent","Bin","2.500000","2.600000",0.0112686487612745
"HHS Region 1","1 wk ahead","percent","Bin","2.600000","2.700000",0.0152638578181673
"HHS Region 1","1 wk ahead","percent","Bin","2.700000","2.800000",0.0201729241290872
"HHS Region 1","1 wk ahead","percent","Bin","2.800000","2.900000",0.0259383315623813
"HHS Region 1","1 wk ahead","percent","Bin","2.900000","3",0.0323887599033133
"HHS Region 1","1 wk ahead","percent","Bin","3","3.100000",0.0392303851601686
"HHS Region 1","1 wk ahead","percent","Bin","3.100000","3.200000",0.0460579020127886
"HHS Region 1","1 wk ahead","percent","Bin","3.200000","3.300000",0.0523879221697905
"HHS Region 1","1 wk ahead","percent","Bin","3.300000","3.400000",0.0577125225290236
"HHS Region 1","1 wk ahead","percent","Bin","3.400000","3.500000",0.061565415407792
"HHS Region 1","1 wk ahead","percent","Bin","3.500000","3.600000",0.0635890374670573
"HHS Region 1","1 wk ahead","percent","Bin","3.600000","3.700000",0.0635892411912878
"HHS Region 1","1 wk ahead","percent","Bin","3.700000","3.800000",0.0615660068220969
"HHS Region 1","1 wk ahead","percent","Bin","3.800000","3.900000",0.0577134455176281
"HHS Region 1","1 wk ahead","percent","Bin","3.900000","4",0.0523890930379899
"HHS Region 1","1 wk ahead","percent","Bin","4","4.100000",0.0460592219825271
"HHS Region 1","1 wk ahead","percent","Bin","4.100000","4.200000",0.0392317540026877
"HHS Region 1","1 wk ahead","percent","Bin","4.200000","4.300000",0.032390088127274
"HHS Region 1","1 wk ahead","percent","Bin","4.300000","4.400000",0.0259395491890988
"HHS Region 1","1 wk ahead","percent","Bin","4.400000","4.500000",0.0201739850781851
"HHS Region 1","1 wk ahead","percent","Bin","4.500000","4.600000",0.0152647399828671
"HHS Region 1","1 wk ahead","percent","Bin","4.600000","4.700000",0.0112693506907989
"HHS Region 1","1 wk ahead","percent","Bin","4.700000","4.800000",0.00815401289195056
"HHS Region 1","1 wk ahead","percent","Bin","4.800000","4.900000",0.00582263078281674
"HHS Region 1","1 wk ahead","percent","Bin","4.900000","5",0.00414590657407661
"HHS Region 1","1 wk ahead","percent","Bin","5","5.100000",0.00298579807372568
"HHS Region 1","1 wk ahead","percent","Bin","5.100000","5.200000",0.00221297471444533
"HHS Region 1","1 wk ahead","percent","Bin","5.200000","5.300000",0.00171696135314509
"HHS Region 1","1 wk ahead","percent","Bin","5.300000","5.400000",0.00141007851304803
"HHS Region 1","1 wk ahead","percent","Bin","5.400000","5.500000",0.00122696844420775
"HHS Region 1","1 wk ahead","percent","Bin","5.500000","5.600000",0.00112156010643772
"HHS Region 1","1 wk ahead","percent","Bin","5.600000","5.700000",0.00106300045827661
"HHS Region 1","1 wk ahead","percent","Bin","5.700000","5.800000",0.00103159536008859
"HHS Region 1","1 wk ahead","percent","Bin","5.800000","5.900000",0.00101533309364037
"HHS Region 1","1 wk ahead","percent","Bin","5.900000","6",0.0010072005066355
"HHS Region 1","1 wk ahead","percent","Bin","6","6.100000",0.00100327207324991
"HHS Region 1","1 wk ahead","percent","Bin","6.100000","6.200000",0.00100143883031564
"HHS Region 1","1 wk ahead","percent","Bin","6.200000","6.300000",0.00100061224133154
"HHS Region 1","1 wk ahead","percent","Bin","6.300000","6.400000",0.00100025209377328
"HHS Region 1","1 wk ahead","percent","Bin","6.400000","6.500000",0.00100010044490686
"HHS Region 1","1 wk ahead","percent","Bin","6.500000","6.600000",0.00100003872754906
"HHS Region 1","1 wk ahead","percent","Bin","6.600000","6.700000",0.00100001444902337
"HHS Region 1","1 wk ahead","percent","Bin","6.700000","6.800000",0.00100000521655588
"HHS Region 1","1 wk ahead","percent","Bin","6.800000","6.900000",0.00100000182245937
"HHS Region 1","1 wk ahead","percent","Bin","6.900000","7",0.00100000061612129
"HHS Region 1","1 wk ahead","percent","Bin","7","7.100000",0.00100000020157057
"HHS Region 1","1 wk ahead","percent","Bin","7.100000","7.200000",0.00100000006382665
"HHS Region 1","1 wk ahead","percent","Bin","7.200000","7.300000",0.00100000001957037
"HHS Region 1","1 wk ahead","percent","Bin","7.300000","7.400000",0.00100000000582028
"HHS Region 1","1 wk ahead","percent","Bin","7.400000","7.500000",0.00100000000168917
"HHS Region 1","1 wk ahead","percent","Bin","7.500000","7.600000",0.00100000000048878
"HHS Region 1","1 wk ahead","percent","Bin","7.600000","7.700000",0.0010000000001515
"HHS Region 1","1 wk ahead","percent","Bin","7.700000","7.800000",0.00100000000005974
"HHS Region 1","1 wk ahead","percent","Bin","7.800000","7.900000",0.00100000000003572
"HHS Region 1","1 wk ahead","percent","Bin","7.900000","8",0.00100000000002964
"HHS Region 1","1 wk ahead","percent","Bin","8","8.100000",0.0010000000000281
"HHS Region 1","1 wk ahead","percent","Bin","8.100000","8.200000",0.00100000000002771
"HHS Region 1","1 wk ahead","percent","Bin","8.200000","8.300000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.300000","8.400000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.400000","8.500000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.500000","8.600000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.600000","8.700000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.700000","8.800000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.800000","8.900000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","8.900000","9",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9","9.100000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.100000","9.200000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.200000","9.300000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.300000","9.400000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.400000","9.500000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.500000","9.600000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.600000","9.700000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.700000","9.800000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.800000","9.900000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","9.900000","10",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10","10.100000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.100000","10.200000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.200000","10.300000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.300000","10.400000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.400000","10.500000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.500000","10.600000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.600000","10.700000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.700000","10.800000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.800000","10.900000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","10.900000","11",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","11","11.100000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","11.100000","11.200000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","11.200000","11.300000",0.00100000000002762
"HHS Region 1","1 wk ahead","percent","Bin","11.300000","11.400000",0.00100000000002762
