"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 5","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 5","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 5","3 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 5","3 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 5","3 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 5","3 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 5","3 wk ahead","Bin","percent","7.9","8",0
"HHS Region 5","3 wk ahead","Bin","percent","8","8.1",0
"HHS Region 5","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 5","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 5","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 5","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 5","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 5","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 5","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 5","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 5","3 wk ahead","Bin","percent","8.9","9",0
"HHS Region 5","3 wk ahead","Bin","percent","9","9.1",0
"HHS Region 5","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 5","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 5","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 5","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 5","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 5","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 5","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 5","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 5","3 wk ahead","Bin","percent","9.9","10",0
"HHS Region 5","3 wk ahead","Bin","percent","10","10.1",0
"HHS Region 5","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 5","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 5","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 5","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 5","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 5","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 5","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 5","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 5","3 wk ahead","Bin","percent","10.9","11",0
"HHS Region 5","3 wk ahead","Bin","percent","11","11.1",0
"HHS Region 5","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 5","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 5","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 5","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 5","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 5","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 5","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 5","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 5","3 wk ahead","Bin","percent","11.9","12",0
"HHS Region 5","3 wk ahead","Bin","percent","12","12.1",0
"HHS Region 5","3 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 5","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 5","3 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 5","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 5","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 5","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 5","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 5","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 5","3 wk ahead","Bin","percent","12.9","13",0
"HHS Region 5","3 wk ahead","Bin","percent","13","100",0
"HHS Region 5","4 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 5","4 wk ahead","Bin","percent","0","0.1",0
"HHS Region 5","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 5","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 5","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 5","4 wk ahead","Bin","percent","0.4","0.5",0.000333333333333333
"HHS Region 5","4 wk ahead","Bin","percent","0.5","0.6",0.00566666666666667
"HHS Region 5","4 wk ahead","Bin","percent","0.6","0.7",0.0176666666666667
"HHS Region 5","4 wk ahead","Bin","percent","0.7","0.8",0.0446666666666667
"HHS Region 5","4 wk ahead","Bin","percent","0.8","0.9",0.089
"HHS Region 5","4 wk ahead","Bin","percent","0.9","1",0.119666666666667
"HHS Region 5","4 wk ahead","Bin","percent","1","1.1",0.134333333333333
"HHS Region 5","4 wk ahead","Bin","percent","1.1","1.2",0.136333333333333
"HHS Region 5","4 wk ahead","Bin","percent","1.2","1.3",0.130666666666667
"HHS Region 5","4 wk ahead","Bin","percent","1.3","1.4",0.106333333333333
"HHS Region 5","4 wk ahead","Bin","percent","1.4","1.5",0.0726666666666667
"HHS Region 5","4 wk ahead","Bin","percent","1.5","1.6",0.0503333333333333
"HHS Region 5","4 wk ahead","Bin","percent","1.6","1.7",0.0383333333333333
"HHS Region 5","4 wk ahead","Bin","percent","1.7","1.8",0.0193333333333333
"HHS Region 5","4 wk ahead","Bin","percent","1.8","1.9",0.011
"HHS Region 5","4 wk ahead","Bin","percent","1.9","2",0.00766666666666667
"HHS Region 5","4 wk ahead","Bin","percent","2","2.1",0.006
"HHS Region 5","4 wk ahead","Bin","percent","2.1","2.2",0.005
"HHS Region 5","4 wk ahead","Bin","percent","2.2","2.3",0.00166666666666667
"HHS Region 5","4 wk ahead","Bin","percent","2.3","2.4",0.00166666666666667
"HHS Region 5","4 wk ahead","Bin","percent","2.4","2.5",0.001
"HHS Region 5","4 wk ahead","Bin","percent","2.5","2.6",0.000333333333333333
"HHS Region 5","4 wk ahead","Bin","percent","2.6","2.7",0.000333333333333333
"HHS Region 5","4 wk ahead","Bin","percent","2.7","2.8",0
"HHS Region 5","4 wk ahead","Bin","percent","2.8","2.9",0
"HHS Region 5","4 wk ahead","Bin","percent","2.9","3",0
"HHS Region 5","4 wk ahead","Bin","percent","3","3.1",0
"HHS Region 5","4 wk ahead","Bin","percent","3.1","3.2",0
"HHS Region 5","4 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 5","4 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 5","4 wk ahead","Bin","percent","3.4","3.5",0
"HHS Region 5","4 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 5","4 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 5","4 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 5","4 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 5","4 wk ahead","Bin","percent","3.9","4",0
"HHS Region 5","4 wk ahead","Bin","percent","4","4.1",0
"HHS Region 5","4 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 5","4 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 5","4 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 5","4 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 5","4 wk ahead","Bin","percent","4.5","4.6",0
"HHS Region 5","4 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 5","4 wk ahead","Bin","percent","4.7","4.8",0
"HHS Region 5","4 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 5","4 wk ahead","Bin","percent","4.9","5",0
"HHS Region 5","4 wk ahead","Bin","percent","5","5.1",0
"HHS Region 5","4 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 5","4 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 5","4 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 5","4 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 5","4 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 5","4 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 5","4 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 5","4 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 5","4 wk ahead","Bin","percent","5.9","6",0
"HHS Region 5","4 wk ahead","Bin","percent","6","6.1",0
"HHS Region 5","4 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 5","4 wk ahead","Bin","percent","6.2","6.3",0
"HHS Region 5","4 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 5","4 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 5","4 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 5","4 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 5","4 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 5","4 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 5","4 wk ahead","Bin","percent","6.9","7",0
"HHS Region 5","4 wk ahead","Bin","percent","7","7.1",0
"HHS Region 5","4 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 5","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 5","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 5","4 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 5","4 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 5","4 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 5","4 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 5","4 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 5","4 wk ahead","Bin","percent","7.9","8",0
"HHS Region 5","4 wk ahead","Bin","percent","8","8.1",0
"HHS Region 5","4 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 5","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 5","4 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 5","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 5","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 5","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 5","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 5","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 5","4 wk ahead","Bin","percent","8.9","9",0
"HHS Region 5","4 wk ahead","Bin","percent","9","9.1",0
"HHS Region 5","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 5","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 5","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 5","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 5","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 5","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 5","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 5","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 5","4 wk ahead","Bin","percent","9.9","10",0
"HHS Region 5","4 wk ahead","Bin","percent","10","10.1",0
"HHS Region 5","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 5","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 5","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 5","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 5","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 5","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 5","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 5","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 5","4 wk ahead","Bin","percent","10.9","11",0
"HHS Region 5","4 wk ahead","Bin","percent","11","11.1",0
"HHS Region 5","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 5","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 5","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 5","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 5","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 5","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 5","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 5","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 5","4 wk ahead","Bin","percent","11.9","12",0
"HHS Region 5","4 wk ahead","Bin","percent","12","12.1",0
"HHS Region 5","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 5","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 5","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 5","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 5","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 5","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 5","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 5","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 5","4 wk ahead","Bin","percent","12.9","13",0
"HHS Region 5","4 wk ahead","Bin","percent","13","100",0
"HHS Region 6","Season onset","Point","week",NA,NA,NA
"HHS Region 6","Season onset","Bin","week","40","41",0
"HHS Region 6","Season onset","Bin","week","41","42",0
"HHS Region 6","Season onset","Bin","week","42","43",0
"HHS Region 6","Season onset","Bin","week","43","44",0
"HHS Region 6","Season onset","Bin","week","44","45",0.00266666666666667
"HHS Region 6","Season onset","Bin","week","45","46",0.00666666666666667
"HHS Region 6","Season onset","Bin","week","46","47",0.0133333333333333
"HHS Region 6","Season onset","Bin","week","47","48",0.021
"HHS Region 6","Season onset","Bin","week","48","49",0.0366666666666667
"HHS Region 6","Season onset","Bin","week","49","50",0.0246666666666667
"HHS Region 6","Season onset","Bin","week","50","51",0.022
"HHS Region 6","Season onset","Bin","week","51","52",0.0303333333333333
"HHS Region 6","Season onset","Bin","week","52","53",0.028
"HHS Region 6","Season onset","Bin","week","1","2",0.036
"HHS Region 6","Season onset","Bin","week","2","3",0.026
"HHS Region 6","Season onset","Bin","week","3","4",0.0316666666666667
"HHS Region 6","Season onset","Bin","week","4","5",0.026
"HHS Region 6","Season onset","Bin","week","5","6",0.0283333333333333
"HHS Region 6","Season onset","Bin","week","6","7",0.033
"HHS Region 6","Season onset","Bin","week","7","8",0.018
"HHS Region 6","Season onset","Bin","week","8","9",0.00966666666666667
"HHS Region 6","Season onset","Bin","week","9","10",0.00533333333333333
"HHS Region 6","Season onset","Bin","week","10","11",0.004
"HHS Region 6","Season onset","Bin","week","11","12",0.00266666666666667
"HHS Region 6","Season onset","Bin","week","12","13",0.00233333333333333
"HHS Region 6","Season onset","Bin","week","13","14",0.001
"HHS Region 6","Season onset","Bin","week","14","15",0.000666666666666667
"HHS Region 6","Season onset","Bin","week","15","16",0.000333333333333333
"HHS Region 6","Season onset","Bin","week","16","17",0.001
"HHS Region 6","Season onset","Bin","week","17","18",0.000333333333333333
"HHS Region 6","Season onset","Bin","week","18","19",0.000666666666666667
"HHS Region 6","Season onset","Bin","week","19","20",0
"HHS Region 6","Season onset","Bin","week","20","21",0
"HHS Region 6","Season onset","Bin","week","none","none",0.587666666666667
"HHS Region 6","Season peak week","Point","week",NA,NA,7
"HHS Region 6","Season peak week","Bin","week","40","41",0.020337814546708
"HHS Region 6","Season peak week","Bin","week","41","42",0.0124095139607032
"HHS Region 6","Season peak week","Bin","week","42","43",0.00965184419165805
"HHS Region 6","Season peak week","Bin","week","43","44",0.0137883488452258
"HHS Region 6","Season peak week","Bin","week","44","45",0.0137883488452258
"HHS Region 6","Season peak week","Bin","week","45","46",0.0113753877973113
"HHS Region 6","Season peak week","Bin","week","46","47",0.0127542226818339
"HHS Region 6","Season peak week","Bin","week","47","48",0.0127542226818339
"HHS Region 6","Season peak week","Bin","week","48","49",0.0289555325749741
"HHS Region 6","Season peak week","Bin","week","49","50",0.0451568424681144
"HHS Region 6","Season peak week","Bin","week","50","51",0.0444674250258532
"HHS Region 6","Season peak week","Bin","week","51","52",0.0327473285074112
"HHS Region 6","Season peak week","Bin","week","52","53",0.0299896587383661
"HHS Region 6","Season peak week","Bin","week","1","2",0.0324026197862806
"HHS Region 6","Season peak week","Bin","week","2","3",0.0541192692175112
"HHS Region 6","Season peak week","Bin","week","3","4",0.0641158221302999
"HHS Region 6","Season peak week","Bin","week","4","5",0.0627369872457773
"HHS Region 6","Season peak week","Bin","week","5","6",0.0489486384005515
"HHS Region 6","Season peak week","Bin","week","6","7",0.0716994139951741
"HHS Region 6","Season peak week","Bin","week","7","8",0.0972078593588418
"HHS Region 6","Season peak week","Bin","week","8","9",0.0958290244743192
"HHS Region 6","Season peak week","Bin","week","9","10",0.057221647707687
"HHS Region 6","Season peak week","Bin","week","10","11",0.0324026197862806
"HHS Region 6","Season peak week","Bin","week","11","12",0.0241296104791451
"HHS Region 6","Season peak week","Bin","week","12","13",0.0251637366425371
"HHS Region 6","Season peak week","Bin","week","13","14",0.0148224750086177
"HHS Region 6","Season peak week","Bin","week","14","15",0.00586004825922096
"HHS Region 6","Season peak week","Bin","week","15","16",0.00448121337469838
"HHS Region 6","Season peak week","Bin","week","16","17",0.0031023784901758
"HHS Region 6","Season peak week","Bin","week","17","18",0.00448121337469838
"HHS Region 6","Season peak week","Bin","week","18","19",0.00482592209582902
"HHS Region 6","Season peak week","Bin","week","19","20",0.00482592209582902
"HHS Region 6","Season peak week","Bin","week","20","21",0.00344708721130645
"HHS Region 6","Season peak percentage","Point","percent",NA,NA,4.7
"HHS Region 6","Season peak percentage","Bin","percent","0","0.1",0
"HHS Region 6","Season peak percentage","Bin","percent","0.1","0.2",0
"HHS Region 6","Season peak percentage","Bin","percent","0.2","0.3",0
"HHS Region 6","Season peak percentage","Bin","percent","0.3","0.4",0
"HHS Region 6","Season peak percentage","Bin","percent","0.4","0.5",0
"HHS Region 6","Season peak percentage","Bin","percent","0.5","0.6",0
"HHS Region 6","Season peak percentage","Bin","percent","0.6","0.7",0
"HHS Region 6","Season peak percentage","Bin","percent","0.7","0.8",0
"HHS Region 6","Season peak percentage","Bin","percent","0.8","0.9",0
"HHS Region 6","Season peak percentage","Bin","percent","0.9","1",0
"HHS Region 6","Season peak percentage","Bin","percent","1","1.1",0
"HHS Region 6","Season peak percentage","Bin","percent","1.1","1.2",0
"HHS Region 6","Season peak percentage","Bin","percent","1.2","1.3",0
"HHS Region 6","Season peak percentage","Bin","percent","1.3","1.4",0
"HHS Region 6","Season peak percentage","Bin","percent","1.4","1.5",0
"HHS Region 6","Season peak percentage","Bin","percent","1.5","1.6",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","1.6","1.7",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","1.7","1.8",0
"HHS Region 6","Season peak percentage","Bin","percent","1.8","1.9",0.00233333333333333
"HHS Region 6","Season peak percentage","Bin","percent","1.9","2",0.00566666666666667
"HHS Region 6","Season peak percentage","Bin","percent","2","2.1",0.00866666666666667
"HHS Region 6","Season peak percentage","Bin","percent","2.1","2.2",0.009
"HHS Region 6","Season peak percentage","Bin","percent","2.2","2.3",0.015
"HHS Region 6","Season peak percentage","Bin","percent","2.3","2.4",0.016
"HHS Region 6","Season peak percentage","Bin","percent","2.4","2.5",0.0223333333333333
"HHS Region 6","Season peak percentage","Bin","percent","2.5","2.6",0.0316666666666667
"HHS Region 6","Season peak percentage","Bin","percent","2.6","2.7",0.0296666666666667
"HHS Region 6","Season peak percentage","Bin","percent","2.7","2.8",0.0236666666666667
"HHS Region 6","Season peak percentage","Bin","percent","2.8","2.9",0.0276666666666667
"HHS Region 6","Season peak percentage","Bin","percent","2.9","3",0.0236666666666667
"HHS Region 6","Season peak percentage","Bin","percent","3","3.1",0.0293333333333333
"HHS Region 6","Season peak percentage","Bin","percent","3.1","3.2",0.0243333333333333
"HHS Region 6","Season peak percentage","Bin","percent","3.2","3.3",0.028
"HHS Region 6","Season peak percentage","Bin","percent","3.3","3.4",0.0253333333333333
"HHS Region 6","Season peak percentage","Bin","percent","3.4","3.5",0.0236666666666667
"HHS Region 6","Season peak percentage","Bin","percent","3.5","3.6",0.0253333333333333
"HHS Region 6","Season peak percentage","Bin","percent","3.6","3.7",0.024
"HHS Region 6","Season peak percentage","Bin","percent","3.7","3.8",0.0236666666666667
"HHS Region 6","Season peak percentage","Bin","percent","3.8","3.9",0.0246666666666667
"HHS Region 6","Season peak percentage","Bin","percent","3.9","4",0.019
"HHS Region 6","Season peak percentage","Bin","percent","4","4.1",0.0256666666666667
"HHS Region 6","Season peak percentage","Bin","percent","4.1","4.2",0.021
"HHS Region 6","Season peak percentage","Bin","percent","4.2","4.3",0.024
"HHS Region 6","Season peak percentage","Bin","percent","4.3","4.4",0.023
"HHS Region 6","Season peak percentage","Bin","percent","4.4","4.5",0.021
"HHS Region 6","Season peak percentage","Bin","percent","4.5","4.6",0.0186666666666667
"HHS Region 6","Season peak percentage","Bin","percent","4.6","4.7",0.0136666666666667
"HHS Region 6","Season peak percentage","Bin","percent","4.7","4.8",0.019
"HHS Region 6","Season peak percentage","Bin","percent","4.8","4.9",0.0173333333333333
"HHS Region 6","Season peak percentage","Bin","percent","4.9","5",0.0186666666666667
"HHS Region 6","Season peak percentage","Bin","percent","5","5.1",0.014
"HHS Region 6","Season peak percentage","Bin","percent","5.1","5.2",0.0193333333333333
"HHS Region 6","Season peak percentage","Bin","percent","5.2","5.3",0.016
"HHS Region 6","Season peak percentage","Bin","percent","5.3","5.4",0.014
"HHS Region 6","Season peak percentage","Bin","percent","5.4","5.5",0.0116666666666667
"HHS Region 6","Season peak percentage","Bin","percent","5.5","5.6",0.014
"HHS Region 6","Season peak percentage","Bin","percent","5.6","5.7",0.00933333333333333
"HHS Region 6","Season peak percentage","Bin","percent","5.7","5.8",0.01
"HHS Region 6","Season peak percentage","Bin","percent","5.8","5.9",0.0113333333333333
"HHS Region 6","Season peak percentage","Bin","percent","5.9","6",0.00966666666666667
"HHS Region 6","Season peak percentage","Bin","percent","6","6.1",0.0113333333333333
"HHS Region 6","Season peak percentage","Bin","percent","6.1","6.2",0.011
"HHS Region 6","Season peak percentage","Bin","percent","6.2","6.3",0.00666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","6.3","6.4",0.01
"HHS Region 6","Season peak percentage","Bin","percent","6.4","6.5",0.0103333333333333
"HHS Region 6","Season peak percentage","Bin","percent","6.5","6.6",0.00766666666666667
"HHS Region 6","Season peak percentage","Bin","percent","6.6","6.7",0.00666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","6.7","6.8",0.011
"HHS Region 6","Season peak percentage","Bin","percent","6.8","6.9",0.00766666666666667
"HHS Region 6","Season peak percentage","Bin","percent","6.9","7",0.00833333333333333
"HHS Region 6","Season peak percentage","Bin","percent","7","7.1",0.006
"HHS Region 6","Season peak percentage","Bin","percent","7.1","7.2",0.00433333333333333
"HHS Region 6","Season peak percentage","Bin","percent","7.2","7.3",0.00566666666666667
"HHS Region 6","Season peak percentage","Bin","percent","7.3","7.4",0.005
"HHS Region 6","Season peak percentage","Bin","percent","7.4","7.5",0.006
"HHS Region 6","Season peak percentage","Bin","percent","7.5","7.6",0.00466666666666667
"HHS Region 6","Season peak percentage","Bin","percent","7.6","7.7",0.004
"HHS Region 6","Season peak percentage","Bin","percent","7.7","7.8",0.002
"HHS Region 6","Season peak percentage","Bin","percent","7.8","7.9",0.00466666666666667
"HHS Region 6","Season peak percentage","Bin","percent","7.9","8",0.00366666666666667
"HHS Region 6","Season peak percentage","Bin","percent","8","8.1",0.003
"HHS Region 6","Season peak percentage","Bin","percent","8.1","8.2",0.00166666666666667
"HHS Region 6","Season peak percentage","Bin","percent","8.2","8.3",0.00233333333333333
"HHS Region 6","Season peak percentage","Bin","percent","8.3","8.4",0.00466666666666667
"HHS Region 6","Season peak percentage","Bin","percent","8.4","8.5",0.00233333333333333
"HHS Region 6","Season peak percentage","Bin","percent","8.5","8.6",0.00233333333333333
"HHS Region 6","Season peak percentage","Bin","percent","8.6","8.7",0.00166666666666667
"HHS Region 6","Season peak percentage","Bin","percent","8.7","8.8",0.00233333333333333
"HHS Region 6","Season peak percentage","Bin","percent","8.8","8.9",0.00166666666666667
"HHS Region 6","Season peak percentage","Bin","percent","8.9","9",0.00333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","9","9.1",0.00233333333333333
"HHS Region 6","Season peak percentage","Bin","percent","9.1","9.2",0.002
"HHS Region 6","Season peak percentage","Bin","percent","9.2","9.3",0.002
"HHS Region 6","Season peak percentage","Bin","percent","9.3","9.4",0.00133333333333333
"HHS Region 6","Season peak percentage","Bin","percent","9.4","9.5",0.001
"HHS Region 6","Season peak percentage","Bin","percent","9.5","9.6",0.002
"HHS Region 6","Season peak percentage","Bin","percent","9.6","9.7",0.00133333333333333
"HHS Region 6","Season peak percentage","Bin","percent","9.7","9.8",0.00166666666666667
"HHS Region 6","Season peak percentage","Bin","percent","9.8","9.9",0.00133333333333333
"HHS Region 6","Season peak percentage","Bin","percent","9.9","10",0.00133333333333333
"HHS Region 6","Season peak percentage","Bin","percent","10","10.1",0.00166666666666667
"HHS Region 6","Season peak percentage","Bin","percent","10.1","10.2",0.00133333333333333
"HHS Region 6","Season peak percentage","Bin","percent","10.2","10.3",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","10.3","10.4",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","10.4","10.5",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","10.5","10.6",0.003
"HHS Region 6","Season peak percentage","Bin","percent","10.6","10.7",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","10.7","10.8",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","10.8","10.9",0.000333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","10.9","11",0.000333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","11","11.1",0
"HHS Region 6","Season peak percentage","Bin","percent","11.1","11.2",0
"HHS Region 6","Season peak percentage","Bin","percent","11.2","11.3",0.001
"HHS Region 6","Season peak percentage","Bin","percent","11.3","11.4",0.000333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","11.4","11.5",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","11.5","11.6",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","11.6","11.7",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","11.7","11.8",0
"HHS Region 6","Season peak percentage","Bin","percent","11.8","11.9",0.000333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","11.9","12",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","12","12.1",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","12.1","12.2",0
"HHS Region 6","Season peak percentage","Bin","percent","12.2","12.3",0
"HHS Region 6","Season peak percentage","Bin","percent","12.3","12.4",0.000333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","12.4","12.5",0.001
"HHS Region 6","Season peak percentage","Bin","percent","12.5","12.6",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","12.6","12.7",0.000333333333333333
"HHS Region 6","Season peak percentage","Bin","percent","12.7","12.8",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","12.8","12.9",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","12.9","13",0.000666666666666667
"HHS Region 6","Season peak percentage","Bin","percent","13","100",0.007
"HHS Region 6","1 wk ahead","Point","percent",NA,NA,2
"HHS Region 6","1 wk ahead","Bin","percent","0","0.1",0
"HHS Region 6","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","1 wk ahead","Bin","percent","0.4","0.5",0
